Sigma_VH,Sigma_VV,,,,,,,q,mc,tan Qc,Qc,,p1,p2,log2p1,log2p2,,Hc
0.03915297,0.20219085,,,,,,,0.193643629274025,0.675541971615432,0.770524785757778,37.6151426283463,,0.837770985807716,0.162229014192284,-0.255372174106359,-2.62389623040029,,0.639615496849632
0.017670427,0.16860455,,,,,,,0.104803974744454,0.810275891216457,0.884345288466373,41.4877855734261,,0.905137945608228,0.0948620543917716,-0.143790415090387,-3.39802507711601,,0.452493800603051
0.015117519,0.13956651,,,,,,,0.108317668758787,0.804536782527174,0.880101987535121,41.3510702538305,,0.902268391263587,0.0977316087364133,-0.148371449489316,-3.35503095007721,,0.461763441151674
0.023248995,0.15032066,,,,,,,0.154662672449682,0.732107608325891,0.822075039153412,39.4227703767709,,0.866053804162945,0.133946195837055,-0.207471438771597,-2.90027448664436,,0.56816216317258
0.018192733,0.13100454,,,,,,,0.138871011645856,0.756125127032315,0.842266264983859,40.1063044045789,,0.878062563516158,0.121937436483842,-0.187604356882048,-3.03578697354025,,0.534904443795192
0.018360425,0.14210135,,,,,,,0.129206548706258,0.771155155176365,0.854413152377767,40.511012623476,,0.885577577588183,0.114422422411817,-0.175309400671982,-3.12755830210171,,0.513112871536198
0.020412635,0.1445716,,,,,,,0.141193948188994,0.752550478535116,0.839322596296156,40.0074958314304,,0.876275239267558,0.123724760732442,-0.190544001365537,-3.01479384266388,,0.539973637228812
0.017530126,0.12940797,,,,,,,0.135464036720459,0.761394403803899,0.846566867258818,40.2501461143395,,0.880697201901949,0.119302798098051,-0.183282012635117,-3.067300214848,,0.527353453924824
0.01782344,0.11870105,,,,,,,0.150154021383973,0.738897541386165,0.827882436503572,39.620760201363,,0.869448770693082,0.130551229306918,-0.201827070741805,-2.93731205235232,,0.558947997841668
0.021276537,0.16336133,,,,,,,0.13024218767073,0.769532248766717,0.853119288700534,40.4681343694036,,0.884766124383359,0.115233875616642,-0.176631945661628,-3.11736320276089,,0.515503805564175
0.022440996,0.19093356,,,,,,,0.11753300991193,0.789656307474636,0.868865891268799,40.9862628505111,,0.894828153737318,0.105171846262682,-0.160317446650545,-3.2491795375309,,0.48517877559924
0.0138699105,0.10404134,,,,,,,0.133311532704212,0.764739828622206,0.849273604704324,40.3403657131899,,0.882369914311103,0.117630085688897,-0.180544493910622,-3.08767099625201,,0.522510033489503
0.015001111,0.07098724,,,,,,,0.211321231815746,0.651089692370075,0.746415160205839,36.7382177307366,,0.825544846185037,0.174455153814963,-0.276581505900994,-2.51907187612574,,0.667795508367124
0.010368327,0.075850084,,,,,,,0.136694996936325,0.759486938352413,0.845015345377538,40.1983228655424,,0.879743469176206,0.120256530823794,-0.184845195798267,-3.05581284969659,,0.530097805963406
0.013203334,0.11411679,,,,,,,0.115700187500893,0.792596274882673,0.871112902595628,41.0595428549532,,0.896298137441336,0.103701862558664,-0.157949396238284,-3.26948628868207,,0.4806215674047
0.022995092,0.056292795,,,,,,,0.40849085571253,0.419959520424602,0.461359570706716,24.766690249563,,0.709979760212301,0.290020239787699,-0.494150197393348,-1.78577450905258,,0.86874738997638
0.0112287365,0.100777775,,,,,,,0.111420762167055,0.799498505048968,0.876335709313585,41.2292411961931,,0.899749252524484,0.100250747475516,-0.152405096269917,-3.31831510134731,,0.469789940719141
0.014067339,0.061456177,,,,,,,0.228900326813365,0.627471289869502,0.722037999385931,35.8307154675998,,0.813735644934751,0.186264355065249,-0.297367906887574,-2.4245764790662,,0.693591039673695
0.013142577,0.08933164,,,,,,,0.147121187968787,0.743494951515463,0.831769877682895,39.7526638890927,,0.871747475757731,0.128252524242269,-0.198017813364104,-2.9629408739208,,0.55262617521616
0.014113748,0.09314905,,,,,,,0.151517895244235,0.736837966878321,0.826129241302711,39.5611079718928,,0.86841898343916,0.13158101656084,-0.203536831607965,-2.92597673111094,,0.561758241110357
0.018240718,0.08382107,,,,,,,0.217614950513039,0.642555390074099,0.73773157215246,36.4173674725259,,0.82127769503705,0.178722304962951,-0.284057978226929,-2.48420839754585,,0.677273932432809
0.01826439,0.06253104,,,,,,,0.292085178816792,0.54788556729013,0.631776780605798,32.2837464392622,,0.773942783645065,0.226057216354935,-0.369701180717528,-2.14524012178564,,0.771074571265175
0.0137237115,0.097726196,,,,,,,0.140430223028429,0.753724129380727,0.840291422363134,40.0400475429868,,0.876862064690363,0.123137935309637,-0.189578178372601,-3.02165281111551,,0.53831400129136
0.01836042,0.08690108,,,,,,,0.211279537607588,0.651146525557778,0.746472517277954,36.7403281621094,,0.825573262778889,0.174426737221111,-0.276531846850185,-2.51930689250333,,0.667731780384391
0.01910178,0.07894283,,,,,,,0.241969790036663,0.61034512759039,0.703678865819068,35.1332412620775,,0.805172563795195,0.194827436204805,-0.312630081533952,-2.35973123836317,,0.711461551570879
0.034318935,0.13686137,,,,,,,0.25075691555623,0.599031734404259,0.691232499545881,34.6534882640076,,0.799515867202129,0.200484132797871,-0.322801429153399,-2.31844003496362,,0.722895304417214
0.027579328,0.10014818,,,,,,,0.275385214189614,0.56815366663225,0.655962778146116,33.2633836990581,,0.784076833316125,0.215923166683875,-0.350933060938582,-2.21141005455193,,0.752653144942071
0.03492679,0.11282634,,,,,,,0.309562377012318,0.527227748068687,0.606288222073881,31.2279398307959,,0.763613874034344,0.236386125965656,-0.389084779706134,-2.08078273190967,,0.788978704931562
0.022163933,0.06240561,,,,,,,0.355159303786951,0.47584124937272,0.539339744205186,28.3397490551806,,0.73792062468636,0.26207937531364,-0.43846245547171,-1.93192427156636,,0.82986799528857
