S.No.,Sigma_VH,Sigma_VV,C11,C22,Eig_1,Eig_2,,,w1,w2,q,mcp,tanQc,,Qc,,p1,p2,logp1,logp2,,Hc
1,0.023366066,0.09868199,0.032670293,0.008120852,0.0328185548489839,0.0079725901510161,,,0.164170837848984,0.0394595081510161,0.240356379172005,0.612439806481338,0.705955438683536,,35.2203877653142,,0.806219903240669,0.193780096759331,-0.310754695285357,-2.36750769637993,,0.709312490847508
2,0.016497504,0.09848688,0.02739962,0.009673566,0.0275603059670238,0.00951288003297615,,,0.153446805967024,0.0356839500329762,0.232549317713688,0.622653123292373,0.716931389927452,,35.6379267901108,,0.811326561646187,0.188673438353813,-0.301645373984513,-2.40603676178734,,0.698688132763426
3,0.022602458,0.12494738,0.043430727,0.00874411,0.0434531608884853,0.00872167611151474,,,0.211831267888485,0.0400682441115147,0.189151698476393,0.681871204962757,0.776581926901823,,37.8322674125503,,0.840935602481379,0.159064397518622,-0.249932769481814,-2.65231713332967,,0.632066590925429
4,0.021427074,0.09240273,0.032552097,0.009462656,0.0329288635336361,0.00908588946636392,,,0.157883690533636,0.0399756194663639,0.253196636911951,0.595918741793207,0.687763076479586,,34.5187570941115,,0.797959370896604,0.202040629103396,-0.325612803199389,-2.3072826558113,,0.725990626896335
5,0.025874713,0.10035494,0.029458426,0.010975571,0.031023261942028,0.00941073505797199,,,0.160836627942028,0.046261019057972,0.287627387181024,0.553244377924081,0.638251015144888,,32.5480959104944,,0.776622188962041,0.223377811037959,-0.364715167645883,-2.1624422102988,,0.766287499277436
6,0.017722232,0.09029858,0.032977242,0.008882266,0.033797666523581,0.00806184147641898,,,0.157073488523581,0.034666339476419,0.220701404178813,0.638402309650356,0.733454890964443,,36.2583665683371,,0.819201154825178,0.180798845174822,-0.287710345785554,-2.4675426321004,,0.68182150582607
7,0.015827686,0.11454703,0.04356771,0.007847443,0.0437050194262782,0.00771013357372183,,,0.201819759426278,0.0313852625737218,0.155511346673597,0.730835448528876,0.820978149073866,,39.3852475686137,,0.865417724264438,0.134582275735562,-0.208531426581274,-2.89343967299369,,0.569872488524635
8,0.016769415,0.07417888,0.0319199885,0.0080338015,0.0325771244548184,0.00737666554518161,,,0.138675992954818,0.0321798820451816,0.232050850039099,0.623309622274544,0.717629875153245,,35.6643516698291,,0.811654811137272,0.188345188862728,-0.301061801150762,-2.4085489136994,,0.6979968593895
9,0.016769415,0.07417888,0.0323532075,0.0079888175,0.0329118864439023,0.00743013855609769,,,0.139443973943902,0.0321883710560977,0.230833718702301,0.624914860236889,0.719334206308553,,35.7287560549638,,0.812457430118445,0.187542569881556,-0.299635871970854,-2.4147099878857,,0.696302307159484
10,0.016769415,0.07417888,0.031820935,0.008261378,0.0324247796768791,0.00765753332312086,,,0.138424594676879,0.0326883263231209,0.236145364192139,0.617932694596209,0.711884074507994,,35.4464582065808,,0.808966347298105,0.191033652701896,-0.305848406565813,-2.38810128746653,,0.703628780253323
11,0.017002596,0.10722796,0.034911938,0.007208616,0.0350195324764355,0.00710102152356445,,,0.177159430476436,0.0313122335235645,0.176746072390029,0.699602018588345,0.793156817725928,,38.4199324106536,,0.849801009294173,0.150198990705827,-0.234803037770839,-2.73505297649982,,0.610338055080239
12,0.017030295,0.10974304,0.04226466,0.006569455,0.0425948350043813,0.00623927999561871,,,0.194602535004381,0.0298390299956187,0.153333202956205,0.734104242272426,0.823790964394201,,39.4813884219994,,0.867052121136213,0.132947878863787,-0.205809374053173,-2.91106733519541,,0.565467681766406
13,0.01262338,0.09778466,0.036461398,0.0052970676,0.0365087989689566,0.00524966663104343,,,0.170754856968957,0.0231701142310434,0.135692270441571,0.761040426226002,0.846279395826605,,40.2405501042954,,0.880520213113001,0.119479786886999,-0.183571972121994,-3.0651615254215,,0.527863677846021
14,0.016455386,0.106606245,0.039105937,0.00642373,0.0392412845563278,0.0062883824436722,,,0.184953466556328,0.0291674984436722,0.157701820824154,0.727560554907156,0.818141567816968,,39.288025412974,,0.863780277453578,0.136219722546422,-0.211263718773954,-2.87599249608957,,0.574252333481354
15,0.012940057,0.098613605,0.033342108,0.005906882,0.0334570532906258,0.00579193670937417,,,0.165412766290626,0.0246388757093742,0.148953894320855,0.740713887550899,0.82942258080597,,39.673078697276,,0.87035694377545,0.129643056224551,-0.200320906104792,-2.94738315841216,,0.556458452133016
16,0.013200693,0.099313356,0.029495604,0.0069813933,0.0296146599552795,0.00686233734472047,,,0.15842361995528,0.0270444236447205,0.170709542253577,0.708365677237128,0.8011380035053,,38.6995439930798,,0.854182838618564,0.145817161381436,-0.227383181792116,-2.77776757287066,,0.599272994130712
17,0.018077325,0.12046044,0.035846416,0.008111189,0.0369188753096116,0.00703872969038835,,,0.193225731309612,0.0332272436903884,0.171960760428678,0.706541778129536,0.799488331501935,,38.6419279104657,,0.853270889064768,0.146729110935232,-0.228924266276661,-2.76877296596594,,0.601594007892074
18,0.019317277,0.12148434,0.0414006,0.0071390257,0.0418379066562244,0.00670171904377563,,,0.204722846656224,0.0331580217437756,0.161965419518885,0.721221618478204,0.812598018024869,,39.0972415496026,,0.860610809239102,0.139389190760898,-0.216567134292384,-2.84280940627991,,0.582636919326788
19,0.019489858,0.116189755,0.04368996,0.007234926,0.0437073826252309,0.00721750337476908,,,0.203587097625231,0.0339422873747691,0.16672121058109,0.714205571872558,0.806380096158663,,38.882013496422,,0.857102785936279,0.142897214063721,-0.222459868532545,-2.80695030508508,,0.591776351690233
