Sigma_VH,Sigma_VV,C11,C22,Eig1,Eig2,w1,w2,q,mc,tan Qc,Qc,,p1,p2,log2p1,log2p2,,Hc
0.03915297,0.20219085,0.075329036,0.012490444,0.07699863023,0.01082084977,0.35451851623,0.06246426377,0.176194644032289,0.70039883292063,0.793888210936988,38.4456465365598,,0.850199416460315,0.149800583539685,-0.234126826112696,-2.73888485114297,,0.609341039887939
0.017670427,0.16860455,0.049211875,0.009300619,0.04948601507,0.009026478929,0.26730244007,0.035997524929,0.134669645812336,0.762627569514433,0.847566737138338,40.283501332171,,0.881313784757217,0.118686215242783,-0.182272324193178,-3.07477571134584,,0.52557260379126
0.015117519,0.13956651,0.06289566,0.0050735236,0.06309466845,0.004874515153,0.26555683845,0.025065557753,0.094388673623705,0.827504293678099,0.896788897940696,41.8854022014156,,0.913752146839049,0.0862478531609508,-0.130125204240442,-3.53536764340348,,0.423820054110813
0.023248995,0.15032066,0.07299104,0.011310357,0.07401998741,0.01028140959,0.29733168741,0.04484076159,0.150810571118737,0.737905481747305,0.827038858919442,39.5920704103073,,0.868952740873652,0.131047259126348,-0.202650378562563,-2.93184091509495,,0.5603033180087
0.018192733,0.13100454,0.05556044,0.008127578,0.05595258868,0.007735429319,0.24251756868,0.034055740319,0.14042586895606,0.753730824986274,0.840296942877385,40.0402329384628,,0.876865412493137,0.123134587506863,-0.189572670266555,-3.02169203480481,,0.538304519989173
0.018360425,0.14210135,0.05260858,0.004626656,0.05279335073,0.004441885273,0.24750328073,0.027428966273,0.110822637146867,0.800467449184303,0.877063033684325,41.2528036610907,,0.900233724592151,0.0997662754078488,-0.151628482851638,-3.32530397465687,,0.468254266022218
0.020412635,0.1445716,0.081972376,0.01051384,0.0825475513,0.009938664705,0.3090915273,0.040865139705,0.132210481671783,0.766456001225911,0.850655041249624,40.3863182680059,,0.883228000612956,0.116771999387045,-0.179142184880529,-3.09823372125471,,0.520010339976742
0.017530126,0.12940797,0.042606406,0.0058081853,0.04307701775,0.005337573552,0.21509139375,0.028675884852,0.133319536184371,0.764727366064424,0.849263555381645,40.3400311996711,,0.882363683032212,0.117636316967788,-0.180554682230454,-3.08759457365146,,0.522528148335661
0.01782344,0.11870105,0.048739955,0.0063849925,0.04875632731,0.006368620195,0.21619733231,0.030577052695,0.141431221043728,0.752186170421371,0.839021400196549,39.9973695741136,,0.876093085210686,0.123906914789314,-0.190843930041264,-3.01267139365673,,0.540487865125613
0.021276537,0.16336133,0.0721235,0.011289908,0.07261896802,0.01079443998,0.30810379802,0.04336088498,0.140734665585607,0.753256090427726,0.839905340241285,40.0270792428583,,0.876628045213863,0.123371954786137,-0.189963260373709,-3.01891362008742,,0.538976396244536
0.022440996,0.19093356,0.07254479,0.013050075,0.07531980798,0.01027505702,0.33879815798,0.04576612802,0.135083756927337,0.761984512415175,0.847045647627127,40.2661221208391,,0.880992256207588,0.119007743792412,-0.182798756763252,-3.07087264263628,,0.526501913826786
0.0138699105,0.10404134,0.03557871,0.008137499,0.0358823786,0.007833830404,0.1755024286,0.029841239904,0.170033202059063,0.709353201670119,0.80202871107609,38.730614112405,,0.85467660083506,0.14532339916494,-0.226549469779889,-2.78266107848699,,0.598012297402169
0.015001111,0.07098724,0.029204112,0.0037482423,0.02958140292,0.003370951377,0.12977275492,0.022120304677,0.170454150338693,0.708738440904552,0.801474426250298,38.7112824386672,,0.854369220452276,0.145630779547724,-0.22706842152848,-2.779612788747,,0.598797447556665
0.010368327,0.075850084,0.028949454,0.0052276514,0.02964407857,0.004533026825,0.13444361657,0.020129005225,0.149720795516681,0.739552774724934,0.828438680046067,39.6396648544272,,0.869776387362467,0.130223612637533,-0.201283551752748,-2.94093702774778,,0.558051124771797
0.013203334,0.11411679,0.034033727,0.0043027364,0.03436562371,0.003970839687,0.18251614071,0.021476910087,0.117671291993428,0.789434885128785,0.868696113645595,40.9807193984031,,0.894717442564392,0.105282557435608,-0.16049595281511,-3.24766165553766,,0.485520653225236
0.022995092,0.056292795,0.020314114,0.0050115352,0.02042627686,0.004899372344,0.09703318586,0.032905999544,0.339121087825324,0.49351691806147,0.562921839702091,29.3761105491445,,0.746758459030735,0.253241540969265,-0.421286419890538,-1.98141401541874,,0.816375536290775
0.0112287365,0.100777775,0.044049427,0.0045653116,0.04415487137,0.004459867234,0.18898207337,0.020253915334,0.107173738613534,0.806401227059915,0.881485944322123,41.3957233550199,,0.903200613529957,0.0967993864700428,-0.146881628776088,-3.36885828627725,,0.458766992442999
0.014067339,0.061456177,0.023848893,0.0062691965,0.02416408787,0.005954001629,0.10946915787,0.026290537129,0.24016387483515,0.612690097319478,0.706226882586959,35.2307660891732,,0.806345048659739,0.193654951340261,-0.310530770443592,-2.36843970644276,,0.7090550253072
0.013142577,0.08933164,0.05343244,0.01124929,0.0563284296,0.0083533004,0.1990925096,0.0327451674,0.164472121355991,0.71751642939383,0.809325140666792,38.9841168631663,,0.858758214696915,0.141241785303085,-0.219676100379253,-2.82376113282597,,0.58748171944307
0.014113748,0.09314905,0.04129528,0.004721303,0.04204717888,0.003969404122,0.17649150888,0.022804455122,0.129209927813044,0.771149855079141,0.854408933793534,40.5108729098777,,0.885574927539571,0.11442507246043,-0.175313717874458,-3.12752488935238,,0.513120695089309
0.018240718,0.08382107,0.04357764,0.0065641482,0.04389948204,0.006242306158,0.17129819204,0.031047172358,0.181246351687998,0.693126922374834,0.787170591661801,38.208780876344,,0.846563461187417,0.153436538812583,-0.240309873537087,-2.70428601304643,,0.618373844100191
